epoch,nsat,PDOP,HDOP,VDOP,east_error_m,north_error_m,up_error_m,2d_error_m,3d_error_m
141,21,1.450395,0.715685,1.261524,15.435992,3.947196,67.490889,15.932677,69.346019
142,21,1.450305,0.715674,1.261426,15.327855,3.617862,68.764020,15.749034,70.544472
143,21,1.450215,0.715663,1.261329,14.609107,3.165081,68.452984,14.948035,70.066074
144,22,1.437248,0.693746,1.258729,16.167296,2.568172,58.788033,16.370002,61.024666
145,22,1.437165,0.693733,1.258641,16.322839,1.662438,51.712121,16.407278,54.252578
146,23,1.403527,0.649487,1.244209,13.002687,1.018867,48.752487,13.042544,50.466949
147,23,1.403445,0.649480,1.244120,11.609658,0.643666,44.662146,11.627488,46.150903
148,23,1.403363,0.649474,1.244030,10.015308,-0.074256,40.962381,10.015583,42.169048
149,23,1.403280,0.649468,1.243940,9.233285,0.303093,44.682069,9.238259,45.627105
150,23,1.403197,0.649462,1.243849,7.708856,-0.277829,45.910196,7.713861,46.553729
151,23,1.403114,0.649455,1.243759,6.706012,-0.763542,44.978978,6.749340,45.482547
152,23,1.403031,0.649449,1.243669,6.751911,-1.095013,42.560077,6.840128,43.106235
153,23,1.402948,0.649443,1.243579,6.485524,-1.155508,43.040290,6.587657,43.541518
154,22,1.633025,0.662578,1.492569,10.193458,-3.372783,28.598255,10.736957,30.547380
155,23,1.355548,0.644031,1.192785,12.778533,-2.032534,32.366621,12.939169,34.857140
156,24,1.299126,0.615196,1.144230,13.704980,-1.161894,29.427832,13.754144,32.483438
157,24,1.299093,0.615187,1.144197,15.368336,-1.969694,24.923916,15.494046,29.347352
158,23,1.320032,0.645428,1.151481,15.182417,-2.467977,20.393651,15.381700,25.544035
159,23,1.319997,0.645419,1.151445,18.539770,-2.887894,17.054694,18.763342,25.355977
160,24,1.298992,0.615161,1.144096,24.397241,-2.246055,16.326977,24.500411,29.442152
161,24,1.298958,0.615153,1.144063,28.389402,-0.907030,11.728578,28.403888,30.730122
162,23,1.327024,0.635940,1.164720,29.287843,-1.453391,9.968536,29.323883,30.971952
163,23,1.326989,0.635929,1.164686,33.859407,1.208318,11.074483,33.880960,35.644967
164,23,1.326954,0.635919,1.164652,33.667171,1.270037,8.258578,33.691118,34.688550
165,23,1.319779,0.645364,1.151226,38.346829,1.506982,15.291786,38.376429,41.310883
166,23,1.326884,0.635899,1.164583,36.914271,-0.897479,18.264188,36.925179,41.195260
167,23,1.326849,0.635889,1.164549,35.727327,0.403226,19.277874,35.729603,40.598534
168,23,1.326814,0.635878,1.164514,35.113851,1.155974,19.648972,35.132874,40.254203
169,23,1.326779,0.635868,1.164480,33.926849,1.405702,12.189845,33.955958,36.077686
170,23,1.326744,0.635858,1.164446,33.275805,1.383336,6.697007,33.304547,33.971204
171,24,1.298615,0.615067,1.143719,33.282762,2.261218,0.300325,33.359486,33.360838
172,25,1.198675,0.607272,1.033462,31.235057,4.393884,15.395947,31.542591,35.099433
173,23,1.323370,0.619922,1.169189,31.518904,4.611628,8.379313,31.854488,32.938144
174,23,1.308171,0.622493,1.150571,35.062237,2.614499,5.967358,35.159580,35.662382
175,22,1.336559,0.628838,1.179386,34.736718,3.256080,6.918845,34.888990,35.568413
176,23,1.323263,0.619900,1.169080,31.687804,4.662231,14.915816,32.028945,35.331783
177,23,1.323228,0.619893,1.169044,31.265787,5.658967,8.012899,31.773784,32.768581
178,23,1.323192,0.619886,1.169007,30.768233,5.653178,6.830832,31.283264,32.020351
179,23,1.323156,0.619879,1.168970,30.380403,3.073652,9.027800,30.535491,31.842069
180,23,1.326386,0.635757,1.164093,32.846374,1.100834,21.603908,32.864816,39.329696
181,23,1.326349,0.635747,1.164057,34.836951,-0.391194,20.815212,34.839147,40.583731
182,24,1.298225,0.614973,1.143328,37.326542,-0.228873,23.565931,37.327244,44.143813
183,24,1.298189,0.614964,1.143291,38.281979,-0.624432,25.798648,38.287072,46.167847
184,24,1.298154,0.614956,1.143255,38.724900,-0.473332,27.929375,38.727793,47.748214
185,24,1.298117,0.614947,1.143219,39.152407,0.020725,32.885239,39.152412,51.130718
186,23,1.326166,0.635697,1.163875,38.821112,-2.551377,38.881296,38.904862,55.003122
187,24,1.298045,0.614930,1.143146,40.004816,-0.257067,35.263349,40.005642,53.328746
188,24,1.298009,0.614922,1.143109,40.712001,-0.841024,36.969294,40.720687,54.999119
189,24,1.297973,0.614913,1.143072,41.127334,-1.388055,37.866139,41.150751,55.921631
190,24,1.297936,0.614905,1.143036,42.080555,-1.856464,39.083667,42.121486,57.460879
191,22,1.351732,0.640706,1.190241,41.157537,-4.128871,41.396780,41.364120,58.520798
192,24,1.297863,0.614888,1.142962,41.247010,-1.056208,37.546766,41.260531,55.787015
193,24,1.297827,0.614880,1.142925,39.948554,-0.213491,36.570609,39.949125,54.160337
194,24,1.297790,0.614871,1.142888,38.778469,-0.060510,37.518241,38.778517,53.957314
195,24,1.297754,0.614863,1.142851,37.534627,0.350423,38.632079,37.536263,53.864724
196,24,1.297717,0.614855,1.142813,36.993502,0.866252,38.397168,37.003643,53.325530
197,24,1.297680,0.614846,1.142776,35.563729,1.339730,39.933741,35.588955,53.490909
198,24,1.297643,0.614838,1.142739,36.226827,1.116314,37.545013,36.244023,52.184837
199,24,1.297606,0.614830,1.142701,36.614784,0.954650,36.347015,36.627227,51.600962
200,24,1.297569,0.614821,1.142664,37.195483,0.684382,36.216096,37.201779,51.918956
201,24,1.297532,0.614813,1.142626,37.635473,0.641363,36.308148,37.640938,52.298392
202,24,1.297495,0.614805,1.142588,38.055764,0.327679,36.955093,38.057175,53.047407
203,23,1.389214,0.643400,1.231240,32.096974,5.684060,17.191104,32.596384,36.851843
204,23,1.389159,0.643396,1.231180,32.277935,5.500229,17.009968,32.743207,36.897921
205,23,1.389104,0.643392,1.231120,32.291112,5.297904,16.944069,32.722831,36.849493
206,23,1.389049,0.643388,1.231060,32.264072,5.093573,17.049475,32.663662,36.845617
207,23,1.388994,0.643384,1.231000,32.328360,5.056656,16.666638,32.721440,36.721512
208,23,1.388938,0.643380,1.230939,32.367796,4.776414,16.949559,32.718318,36.848011
209,23,1.388883,0.643376,1.230879,32.350494,4.679609,16.593016,32.687203,36.657624
210,23,1.388827,0.643372,1.230818,32.308168,4.675703,16.243116,32.644753,36.462566
211,23,1.388772,0.643368,1.230758,32.300673,4.423609,16.382045,32.602175,36.486617
212,23,1.388716,0.643364,1.230697,32.376679,4.260632,16.237888,32.655817,36.470144
213,24,1.297081,0.614715,1.142167,30.817606,5.627480,11.090453,31.327198,33.232386
214,24,1.297043,0.614707,1.142128,31.078772,5.545576,10.923310,31.569661,33.406020
215,24,1.297005,0.614698,1.142089,30.983449,5.542710,10.302656,31.475320,33.118582
216,24,1.296966,0.614690,1.142050,31.123796,5.327315,10.192787,31.576430,33.180775
217,24,1.296928,0.614682,1.142011,31.502396,4.957163,11.010921,31.890036,33.737439
218,24,1.296889,0.614674,1.141971,31.648688,4.833427,10.872717,32.015644,33.811499
219,25,1.198564,0.606770,1.033628,30.780411,6.382182,20.829836,31.435107,37.710052
220,25,1.198560,0.606759,1.033630,30.782098,6.329024,21.006376,31.426010,37.800290
221,25,1.198557,0.606749,1.033632,30.686316,6.566740,21.064716,31.381079,37.795428
222,25,1.198553,0.606738,1.033633,31.088042,6.478373,20.800253,31.755876,37.961641
223,25,1.198549,0.606728,1.033635,31.274718,6.171067,19.891836,31.877736,37.574928
224,25,1.198545,0.606717,1.033637,31.451058,6.090253,18.276730,32.035296,36.882233
